airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
아시아나항공,2023-08-05,12:35,13:45,CJU,GMP,70,비즈니스석,189700,토요일,주말
이스타항공,2023-08-05,12:45,13:55,CJU,GMP,70,할인석,114600,토요일,주말
이스타항공,2023-08-05,12:45,13:55,CJU,GMP,70,일반석,119600,토요일,주말
이스타항공,2023-08-05,13:00,14:05,CJU,GMP,65,일반석,119600,토요일,주말
아시아나항공,2023-08-05,13:10,14:20,CJU,GMP,70,일반석,132700,토요일,주말
에어부산,2023-08-05,13:20,14:30,CJU,GMP,70,일반석,118700,토요일,주말
이스타항공,2023-08-05,13:30,14:40,CJU,GMP,70,일반석,119600,토요일,주말
아시아나항공,2023-08-05,14:00,15:10,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,14:20,15:30,CJU,GMP,70,비즈니스석,189700,토요일,주말
대한항공,2023-08-05,20:20,21:30,CJU,GMP,70,일반석,129700,토요일,주말
아시아나항공,2023-08-05,20:50,22:00,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,20:55,22:05,CJU,GMP,70,일반석,132700,토요일,주말
이스타항공,2023-08-05,21:15,22:25,CJU,GMP,70,일반석,119600,토요일,주말
대한항공,2023-08-05,21:15,22:25,CJU,GMP,70,일반석,129700,토요일,주말
진에어,2023-08-05,21:20,22:30,CJU,GMP,70,일반석,119700,토요일,주말
진에어,2023-08-05,21:20,22:30,CJU,GMP,70,비즈니스석,174700,토요일,주말
에어부산,2023-08-06,06:50,07:55,PUS,CJU,65,할인석,88390,일요일,주말
에어부산,2023-08-06,06:50,07:55,PUS,CJU,65,일반석,99700,일요일,주말
아시아나항공,2023-08-06,06:50,07:55,PUS,CJU,65,일반석,99700,일요일,주말
대한항공,2023-08-06,07:00,08:00,PUS,CJU,60,일반석,102700,일요일,주말
에어부산,2023-08-06,07:30,08:25,PUS,CJU,55,할인석,92740,일요일,주말
에어부산,2023-08-06,07:30,08:25,PUS,CJU,55,일반석,99700,일요일,주말
진에어,2023-08-06,07:40,08:45,PUS,CJU,65,일반석,95700,일요일,주말
에어부산,2023-08-06,08:00,09:00,PUS,CJU,60,일반석,99700,일요일,주말
제주항공,2023-08-06,08:05,09:05,PUS,CJU,60,일반석,99700,일요일,주말
제주항공,2023-08-06,09:10,10:10,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,11:35,12:35,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,11:50,12:50,PUS,CJU,60,할인석,94480,일요일,주말
에어부산,2023-08-06,11:50,12:50,PUS,CJU,60,일반석,99700,일요일,주말
진에어,2023-08-06,12:05,13:10,PUS,CJU,65,일반석,95700,일요일,주말
진에어,2023-08-06,12:05,13:10,PUS,CJU,65,비즈니스석,150700,일요일,주말
제주항공,2023-08-06,12:20,13:20,PUS,CJU,60,할인석,94600,일요일,주말
제주항공,2023-08-06,12:20,13:20,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,13:25,14:20,PUS,CJU,55,할인석,90130,일요일,주말
에어부산,2023-08-06,13:25,14:20,PUS,CJU,55,일반석,99700,일요일,주말
아시아나항공,2023-08-06,13:25,14:20,PUS,CJU,55,일반석,99700,일요일,주말
대한항공,2023-08-06,14:00,15:00,PUS,CJU,60,할인석,93700,일요일,주말
